instant,season,mnth,holiday,weekday,temp,atemp,hum,windspeed,casual,registered,,,
186,fall,7,no,2,0.746667,0.696338,0.590417,0.126258,1031,3634,,,
187,fall,7,no,3,0.72,0.685633,0.743333,0.149883,784,3845,,,
188,fall,7,no,4,0.75,0.686871,0.65125,0.1592,754,3838,,,
189,fall,7,no,5,0.709167,0.670483,0.757917,0.225129,692,3348,,,
190,fall,7,no,6,0.733333,0.664158,0.609167,0.167912,1988,3348,,,
191,fall,7,no,0,0.7475,0.690025,0.578333,0.183471,1743,3138,,,
192,fall,7,no,1,0.7625,0.729804,0.635833,0.282337,723,3363,,,
193,fall,7,no,2,0.794167,0.739275,0.559167,0.200254,662,3596,,,
194,fall,7,no,3,0.746667,0.689404,0.631667,0.146133,748,3594,,,
195,fall,7,no,4,0.680833,0.635104,0.47625,0.240667,888,4196,,,
196,fall,7,no,5,0.663333,0.624371,0.59125,0.182833,1318,4220,,,
197,fall,7,no,6,0.686667,0.638263,0.585,0.208342,2418,3505,,,
198,fall,7,no,0,0.719167,0.669833,0.604167,0.245033,2006,3296,,,
199,fall,7,no,1,0.746667,0.703925,0.65125,0.215804,841,3617,,,
200,fall,7,no,2,0.776667,0.747479,0.650417,0.1306,752,3789,,,
201,fall,7,no,3,0.768333,0.74685,0.707083,0.113817,644,3688,,,
202,fall,7,no,4,0.815,0.826371,0.69125,0.222021,632,3152,,,
203,fall,7,no,5,0.848333,0.840896,0.580417,0.1331,562,2825,,,
204,fall,7,no,6,0.849167,0.804287,0.5,0.131221,987,2298,,,
205,fall,7,no,0,0.83,0.794829,0.550833,0.169171,1050,2556,,,
206,fall,7,no,1,0.743333,0.720958,0.757083,0.0908083,568,3272,,,
207,fall,7,no,2,0.771667,0.696979,0.540833,0.200258,750,3840,,,
208,fall,7,no,3,0.775,0.690667,0.402917,0.183463,755,3901,,,
209,fall,7,no,4,0.779167,0.7399,0.583333,0.178479,606,3784,,,
210,fall,7,no,5,0.838333,0.785967,0.5425,0.174138,670,3176,,,
211,fall,7,no,6,0.804167,0.728537,0.465833,0.168537,1559,2916,,,
212,fall,7,no,0,0.805833,0.729796,0.480833,0.164813,1524,2778,,,
213,fall,8,no,1,0.771667,0.703292,0.550833,0.156717,729,3537,,,
214,fall,8,no,2,0.783333,0.707071,0.49125,0.20585,801,4044,,,
215,fall,8,no,3,0.731667,0.679937,0.6575,0.135583,467,3107,,,
216,fall,8,no,4,0.71,0.664788,0.7575,0.19715,799,3777,,,
217,fall,8,no,5,0.710833,0.656567,0.630833,0.184696,1023,3843,,,
218,fall,8,no,6,0.716667,0.676154,0.755,0.22825,1521,2773,,,
219,fall,8,no,0,0.7425,0.715292,0.752917,0.201487,1298,2487,,,
220,fall,8,no,1,0.765,0.703283,0.592083,0.192175,846,3480,,,
221,fall,8,no,2,0.775,0.724121,0.570417,0.151121,907,3695,,,
222,fall,8,no,3,0.766667,0.684983,0.424167,0.200258,884,3896,,,
223,fall,8,no,4,0.7175,0.651521,0.42375,0.164796,812,3980,,,
224,fall,8,no,5,0.708333,0.654042,0.415,0.125621,1051,3854,,,
225,fall,8,no,6,0.685833,0.645858,0.729583,0.211454,1504,2646,,,
226,fall,8,no,0,0.676667,0.624388,0.8175,0.222633,1338,2482,,,
227,fall,8,no,1,0.665833,0.616167,0.712083,0.208954,775,3563,,,
228,fall,8,no,2,0.700833,0.645837,0.578333,0.236329,721,4004,,,
229,fall,8,no,3,0.723333,0.666671,0.575417,0.143667,668,4026,,,
230,fall,8,no,4,0.711667,0.662258,0.654583,0.233208,639,3166,,,
231,fall,8,no,5,0.685,0.633221,0.722917,0.139308,797,3356,,,
232,fall,8,no,6,0.6975,0.648996,0.674167,0.104467,1914,3277,,,
233,fall,8,no,0,0.710833,0.675525,0.77,0.248754,1249,2624,,,
234,fall,8,no,1,0.691667,0.638254,0.47,0.27675,833,3925,,,
235,fall,8,no,2,0.640833,0.606067,0.455417,0.146763,1281,4614,,,
236,fall,8,no,3,0.673333,0.630692,0.605,0.253108,949,4181,,,
237,fall,8,no,4,0.684167,0.645854,0.771667,0.210833,435,3107,,,
238,fall,8,no,5,0.7,0.659733,0.76125,0.0839625,768,3893,,,
239,fall,8,no,6,0.68,0.635556,0.85,0.375617,226,889,,,
240,fall,8,no,0,0.707059,0.647959,0.561765,0.304659,1415,2919,,,
241,fall,8,no,1,0.636667,0.607958,0.554583,0.159825,729,3905,,,
242,fall,8,no,2,0.639167,0.594704,0.548333,0.125008,775,4429,,,
243,fall,8,no,3,0.656667,0.611121,0.597917,0.0833333,688,4370,,,
244,fall,9,no,4,0.655,0.614921,0.639167,0.141796,783,4332,,,
245,fall,9,no,5,0.643333,0.604808,0.727083,0.139929,875,3852,,,
246,fall,9,no,6,0.669167,0.633213,0.716667,0.185325,1935,2549,,,
247,fall,9,no,0,0.709167,0.665429,0.742083,0.206467,2521,2419,,,
248,fall,9,yes,1,0.673333,0.625646,0.790417,0.212696,1236,2115,,,
249,fall,9,no,2,0.54,0.5152,0.886957,0.343943,204,2506,,,
250,fall,9,no,3,0.599167,0.544229,0.917083,0.0970208,118,1878,,,
251,fall,9,no,4,0.633913,0.555361,0.939565,0.192748,153,1689,,,
252,fall,9,no,5,0.65,0.578946,0.897917,0.124379,417,3127,,,
253,fall,9,no,6,0.66,0.607962,0.75375,0.153608,1750,3595,,,
254,fall,9,no,0,0.653333,0.609229,0.71375,0.115054,1633,3413,,,
255,fall,9,no,1,0.644348,0.60213,0.692174,0.088913,690,4023,,,
256,fall,9,no,2,0.650833,0.603554,0.7125,0.141804,701,4062,,,
257,fall,9,no,3,0.673333,0.6269,0.697083,0.1673,647,4138,,,
258,fall,9,no,4,0.5775,0.553671,0.709167,0.271146,428,3231,,,
259,fall,9,no,5,0.469167,0.461475,0.590417,0.164183,742,4018,,,
260,fall,9,no,6,0.491667,0.478512,0.718333,0.189675,1434,3077,,,
261,fall,9,no,0,0.5075,0.490537,0.695,0.178483,1353,2921,,,
262,fall,9,no,1,0.549167,0.529675,0.69,0.151742,691,3848,,,
263,fall,9,no,2,0.561667,0.532217,0.88125,0.134954,438,3203,,,
264,fall,9,no,3,0.595,0.550533,0.9,0.0964042,539,3813,,,
265,fall,9,no,4,0.628333,0.554963,0.902083,0.128125,555,4240,,,
266,winter,9,no,5,0.609167,0.522125,0.9725,0.0783667,258,2137,,,
267,winter,9,no,6,0.606667,0.564412,0.8625,0.0783833,1776,3647,,,
268,winter,9,no,0,0.634167,0.572637,0.845,0.0503792,1544,3466,,,
269,winter,9,no,1,0.649167,0.589042,0.848333,0.1107,684,3946,,,
270,winter,9,no,2,0.636667,0.574525,0.885417,0.118171,477,3643,,,
271,winter,9,no,3,0.635,0.575158,0.84875,0.148629,480,3427,,,
272,winter,9,no,4,0.616667,0.574512,0.699167,0.172883,653,4186,,,
273,winter,9,no,5,0.564167,0.544829,0.6475,0.206475,830,4372,,,
274,winter,10,no,6,0.41,0.412863,0.75375,0.292296,480,1949,,,
275,winter,10,no,0,0.356667,0.345317,0.791667,0.222013,616,2302,,,
276,winter,10,no,1,0.384167,0.392046,0.760833,0.0833458,330,3240,,,
277,winter,10,no,2,0.484167,0.472858,0.71,0.205854,486,3970,,,
278,winter,10,no,3,0.538333,0.527138,0.647917,0.17725,559,4267,,,
279,winter,10,no,4,0.494167,0.480425,0.620833,0.134954,639,4126,,,
280,winter,10,no,5,0.510833,0.504404,0.684167,0.0223917,949,4036,,,
281,winter,10,no,6,0.521667,0.513242,0.70125,0.0454042,2235,3174,,,
282,winter,10,no,0,0.540833,0.523983,0.7275,0.06345,2397,3114,,,
283,winter,10,yes,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,,,
284,winter,10,no,2,0.566667,0.546096,0.80875,0.143042,667,3896,,,
285,winter,10,no,3,0.543333,0.517717,0.90625,0.24815,217,2199,,,
286,winter,10,no,4,0.589167,0.551804,0.896667,0.141787,290,2623,,,
287,winter,10,no,5,0.550833,0.529675,0.71625,0.223883,529,3115,,,
288,winter,10,no,6,0.506667,0.498725,0.483333,0.258083,1899,3318,,,
289,winter,10,no,0,0.511667,0.503154,0.486667,0.281717,1748,3293,,,
290,winter,10,no,1,0.534167,0.510725,0.579583,0.175379,713,3857,,,
291,winter,10,no,2,0.5325,0.522721,0.701667,0.110087,637,4111,,,
292,winter,10,no,3,0.541739,0.513848,0.895217,0.243339,254,2170,,,
293,winter,10,no,4,0.475833,0.466525,0.63625,0.422275,471,3724,,,
294,winter,10,no,5,0.4275,0.423596,0.574167,0.221396,676,3628,,,
295,winter,10,no,6,0.4225,0.425492,0.629167,0.0926667,1499,2809,,,
296,winter,10,no,0,0.421667,0.422333,0.74125,0.0995125,1619,2762,,,
297,winter,10,no,1,0.463333,0.457067,0.772083,0.118792,699,3488,,,
298,winter,10,no,2,0.471667,0.463375,0.622917,0.166658,695,3992,,,
299,winter,10,no,3,0.484167,0.472846,0.720417,0.148642,404,3490,,,
300,winter,10,no,4,0.47,0.457046,0.812917,0.197763,240,2419,,,
301,winter,10,no,5,0.330833,0.318812,0.585833,0.229479,456,3291,,,
302,winter,10,no,6,0.254167,0.227913,0.8825,0.351371,57,570,,,
303,winter,10,no,0,0.319167,0.321329,0.62375,0.176617,885,2446,,,
304,winter,10,no,1,0.34,0.356063,0.703333,0.10635,362,3307,,,
305,winter,11,no,2,0.400833,0.397088,0.68375,0.135571,410,3658,,,
306,winter,11,no,3,0.3775,0.390133,0.71875,0.0820917,370,3816,,,
307,winter,11,no,4,0.408333,0.405921,0.702083,0.136817,318,3656,,,
308,winter,11,no,5,0.403333,0.403392,0.6225,0.271779,470,3576,,,
309,winter,11,no,6,0.326667,0.323854,0.519167,0.189062,1156,2770,,,
310,winter,11,no,0,0.348333,0.362358,0.734583,0.0920542,952,2697,,,
311,winter,11,no,1,0.395,0.400871,0.75875,0.057225,373,3662,,,
312,winter,11,no,2,0.408333,0.412246,0.721667,0.0690375,376,3829,,,
313,winter,11,no,3,0.4,0.409079,0.758333,0.0621958,305,3804,,,
314,winter,11,no,4,0.38,0.373721,0.813333,0.189067,190,2743,,,
315,winter,11,yes,5,0.324167,0.306817,0.44625,0.314675,440,2928,,,
316,winter,11,no,6,0.356667,0.357942,0.552917,0.212062,1275,2792,,,
317,winter,11,no,0,0.440833,0.43055,0.458333,0.281721,1004,2713,,,
318,winter,11,no,1,0.53,0.524612,0.587083,0.306596,595,3891,,,
319,winter,11,no,2,0.53,0.507579,0.68875,0.199633,449,3746,,,
320,winter,11,no,3,0.456667,0.451988,0.93,0.136829,145,1672,,,
321,winter,11,no,4,0.341667,0.323221,0.575833,0.305362,139,2914,,,
322,winter,11,no,5,0.274167,0.272721,0.41,0.168533,245,3147,,,
323,winter,11,no,6,0.329167,0.324483,0.502083,0.224496,943,2720,,,
324,winter,11,no,0,0.463333,0.457058,0.684583,0.18595,787,2733,,,
325,winter,11,no,1,0.4475,0.445062,0.91,0.138054,220,2545,,,
326,winter,11,no,2,0.416667,0.421696,0.9625,0.118792,69,1538,,,
327,winter,11,no,3,0.440833,0.430537,0.757917,0.335825,112,2454,,,
328,winter,11,yes,4,0.373333,0.372471,0.549167,0.167304,560,935,,,
329,winter,11,no,5,0.375,0.380671,0.64375,0.0988958,1095,1697,,,
330,winter,11,no,6,0.375833,0.385087,0.681667,0.0684208,1249,1819,,,
331,winter,11,no,0,0.459167,0.4558,0.698333,0.208954,810,2261,,,
332,winter,11,no,1,0.503478,0.490122,0.743043,0.142122,253,3614,,,
333,winter,11,no,2,0.458333,0.451375,0.830833,0.258092,96,2818,,,
334,winter,11,no,3,0.325,0.311221,0.613333,0.271158,188,3425,,,
335,winter,12,no,4,0.3125,0.305554,0.524583,0.220158,182,3545,,,
336,winter,12,no,5,0.314167,0.331433,0.625833,0.100754,268,3672,,,
337,winter,12,no,6,0.299167,0.310604,0.612917,0.0957833,706,2908,,,
338,winter,12,no,0,0.330833,0.3491,0.775833,0.0839583,634,2851,,,
339,winter,12,no,1,0.385833,0.393925,0.827083,0.0622083,233,3578,,,
340,winter,12,no,2,0.4625,0.4564,0.949583,0.232583,126,2468,,,
341,winter,12,no,3,0.41,0.400246,0.970417,0.266175,50,655,,,
342,winter,12,no,4,0.265833,0.256938,0.58,0.240058,150,3172,,,
343,winter,12,no,5,0.290833,0.317542,0.695833,0.0827167,261,3359,,,
344,winter,12,no,6,0.275,0.266412,0.5075,0.233221,502,2688,,,
345,winter,12,no,0,0.220833,0.253154,0.49,0.0665417,377,2366,,,
346,winter,12,no,1,0.238333,0.270196,0.670833,0.06345,143,3167,,,
347,winter,12,no,2,0.2825,0.301138,0.59,0.14055,155,3368,,,
348,winter,12,no,3,0.3175,0.338362,0.66375,0.0609583,178,3562,,,
349,winter,12,no,4,0.4225,0.412237,0.634167,0.268042,181,3528,,,
350,winter,12,no,5,0.375,0.359825,0.500417,0.260575,178,3399,,,
351,winter,12,no,6,0.258333,0.249371,0.560833,0.243167,275,2464,,,
352,winter,12,no,0,0.238333,0.245579,0.58625,0.169779,220,2211,,,
